IdVenta,codigo
270277,[824284]
270278,[19351]
270279,[726669]
270280,"[187204, 189942]"
270281,[187204]
270282,[187204]
270283,"[658244, 653346, 672661]"
270284,"[999847, 729566, 672908]"
270285,"[723798, 686296, 729566, 718533, 463737, 655872, 651444, 686296, 999923, 689510, 938548, 999923, 714048]"
270286,[729566]
270287,[663728]
270288,"[679597, 655872, 729566, 729566, 655872, 869354, 870519]"
270289,"[870261, 702951, 650905]"
270290,[176296]
270291,[656750]
270292,"[693352, 662018, 663941]"
270293,"[654804, 654804]"
270294,"[723313, 817817, 704557, 723798, 689957, 656706, 659590, 663682]"
270295,"[654179, 473025, 752717, 663941, 671939, 473025, 654177]"
270296,"[709155, 661912]"
270297,"[791673, 859892, 671081, 819029, 791673, 671081, 671081, 819029, 671081]"
270298,[728390]
270299,"[887976, 997437]"
270300,[138761]
270301,"[767467, 656346]"
270302,[658244]
270303,[734046]
270304,[664013]
270305,"[659593, 688760, 659653]"
270306,"[718395, 1]"
270307,[205201]
270308,"[171102, 198073]"
270309,"[713032, 673184, 801480, 915132, 731884, 157714, 795831]"
270310,"[676411, 935353, 672353, 651321, 727302, 697784, 933416, 653747]"
270311,"[728605, 16475, 16475]"
270312,"[662123, 874776, 697784, 659590, 182453, 707043, 199040, 460428, 728605, 713255]"
270313,"[731146, 750521]"
270314,"[724007, 723944, 658394]"
270315,"[754739, 866152, 659591, 664574, 672353, 702056, 493510, 486324, 476267, 661146, 780700, 722195, 679442, 933416, 729566]"
270316,"[2, 653298, 671656, 664013]"
270317,"[654536, 180853, 476283, 661531, 729566, 656582]"
270318,"[961557, 164020]"
270319,"[239277, 664574]"
270320,"[657676, 700622]"
270321,[832840]
270322,[656964]
270323,[723358]
270324,[311161]
270325,[109806]
270326,[770065]
270327,[664548]
270328,"[190758, 707342]"
270329,"[869750, 673161, 659590]"
270330,"[650100, 698059, 664013, 159560, 705617]"
270331,"[176663, 176663]"
270332,[953273]
270333,"[663294, 661873, 654179, 656822, 678334]"
270334,"[659590, 729566, 653302, 682808, 664013, 661658, 653511]"
270335,"[730844, 704113]"
270336,"[8792, 672312, 725297, 932038, 673156, 999847]"
270337,"[681770, 762392]"
270338,"[499996, 915132, 664013]"
270339,"[676460, 915132, 654179, 673161, 702566, 679442]"
270340,"[176298, 706414]"
270341,"[482182, 703003, 482182]"
270342,"[757419, 770065, 659590]"
270343,"[730100, 920603, 706633, 653398]"
270344,[672971]
270345,"[654027, 654027]"
270346,"[400103, 497859]"
270347,"[731204, 672737, 693738]"
270348,[659505]
270349,"[722348, 722348]"
270350,"[441410, 664013]"
270351,"[664012, 725702, 652853, 664574]"
270352,"[659593, 694840, 723567, 660261, 693698, 692309, 724007, 684047, 673156, 933416, 731400, 701860]"
270353,[884403]
270354,"[673872, 946137, 946137, 694840]"
270355,[0]
270356,[168944]
270357,"[673141, 655290, 651465, 722195, 654536]"
270358,"[672661, 724007, 808386, 731862, 672353, 933416, 808386, 689528, 798462]"
270360,[707665]
270361,"[674888, 659593]"
270362,[683649]
270363,"[661492, 679811, 832840, 705756]"
270364,"[658395, 677380, 39420]"
270365,[3707]
270366,"[915132, 739524]"
270367,[15872]
270368,"[720011, 681769, 779553]"
270369,[787382]
270370,"[660261, 673029, 725298, 673014, 999847, 176298, 696527, 679442]"
270371,[154234]
270372,[706895]
270373,"[686580, 915132, 718486, 651465, 938548]"
270375,"[818997, 867184, 664013, 722406]"
270376,[730842]
270377,"[729566, 915132, 705617, 650887, 832840, 678363, 662017, 985911, 654536]"
270378,[779553]
270379,[768283]
270380,"[651321, 700691, 681418, 157680, 656773, 731861, 672900, 484311, 700645, 660261]"
270381,[739524]
270382,"[678086, 653275, 706766, 672353, 664012, 702686, 328260, 664013, 672661]"
270383,"[862888, 660261]"
270384,"[670938, 700579, 726064, 701864, 651465]"
270385,"[672312, 659590, 692468, 176296, 730483, 672900, 715572, 660261, 700694, 659590, 672353, 730483, 176296, 653302, 672353]"
270386,[204302]
270387,"[758623, 654642, 663526]"
270388,[152729]
270390,[723307]
270391,"[174087, 189727, 651460, 689319, 955229, 840488, 770065, 662018, 658512]"
270392,"[651460, 656529, 659590, 441253]"
270393,[651167]
270394,"[653279, 673156, 701218, 491126, 729026, 655872]"
270395,[673058]
270396,[495994]
270397,"[471201, 471201, 488098]"
270399,"[698095, 659590, 688760, 728852, 722435, 725948]"
270401,"[663656, 493957, 874354, 328260]"
270402,"[809459, 180854, 869354]"
270404,"[723798, 719044, 702350, 729566, 664548, 707348, 660261]"
270405,"[184615, 345553]"
270406,"[724007, 665193, 663312, 654804]"
270407,"[756841, 835454, 719556, 729566, 729556, 726587]"
270408,"[664013, 696527, 659698]"
270409,"[664013, 673156, 715572, 656746, 720059, 489054, 664013, 719775, 722435, 651444]"
270410,"[660929, 999847]"
270411,"[755348, 480285]"
270412,[816728]
270413,[730940]
270414,[718846]
270415,"[191531, 101797, 797183, 681232, 687496, 191525]"
270416,[706806]
270417,[816728]
270418,"[697784, 915132, 714048, 719726, 933416, 673261]"
270419,[193901]
270420,[29912]
270421,"[703676, 718460, 915132, 138420]"
270422,[487165]
270423,"[727300, 660261, 723798, 915132, 660250, 654179, 826131, 869735, 659590]"
270424,"[727304, 826131, 659591, 664029, 723798, 723798, 685399, 715572, 727304]"
270425,[677380]
270426,"[731498, 856567, 671937]"
270427,[846287]
270428,"[855304, 704544, 770073]"
270429,"[703598, 702951, 869354, 724007]"
270430,[873992]
270431,"[754739, 898254, 655498, 729566, 729566, 890426]"
270432,[476267]
270433,"[938548, 660741, 701860]"
270434,"[659591, 719556, 663984, 654080, 847863, 651461]"
270435,[659531]
270436,"[702686, 729566, 714048, 672988, 725298, 729566]"
270437,[651478]
270438,[201949]
270439,[673086]
270440,"[938548, 689510]"
270441,"[664013, 888289, 658493, 679442, 701357, 700019]"
270442,"[491126, 819854, 898254, 722479, 491126, 833657, 672670, 729566, 730889, 491126, 727302, 491126]"
270443,"[901082, 901082, 901082, 662713, 901082]"
270444,[686191]
270445,[702057]
270446,[711282]
270447,[673058]
270448,"[859892, 992909]"
270449,[677297]
270451,[654642]
270452,"[802223, 258657]"
270453,"[665435, 733334, 663941, 659590, 847103, 731400, 733336, 476267, 795831, 655891]"
270454,"[700670, 689660, 75242, 846220]"
270455,[971671]
270456,[730796]
270457,[123430]
270458,"[207544, 207544]"
270460,"[720631, 663240, 981795, 673156, 723798]"
270461,"[681957, 819060]"
270462,"[681927, 659593]"
270463,"[672826, 912204, 672661, 877076, 779678, 815241, 659590, 722304, 885178, 877076]"
270464,[32167]
270465,[651460]
270466,"[715571, 698435, 663526, 693698, 656578, 191039, 815241]"
270467,"[658512, 672661, 718533, 652008, 715571, 686894, 659397, 659593, 678656, 658318]"
270468,"[692309, 678363, 722435, 727397, 659590, 704482]"
270469,[177778]
270470,[727304]
270471,"[689510, 653734]"
270472,"[673058, 663941]"
270473,"[736066, 671081, 671081, 671081, 679426]"
270474,"[320986, 855304]"
270475,"[701512, 869735, 855049]"
270476,"[658394, 663954]"
270477,[177256]
270478,[476267]
270479,"[725298, 651461, 696527, 772681, 709156]"
270480,"[654177, 720631, 715572]"
270481,[201841]
270482,"[847863, 723500, 663941, 999923, 730889, 701717, 661337, 660250, 651461]"
270483,"[724653, 155677]"
270484,"[725174, 692105, 725174]"
270485,[203344]
270486,"[681769, 681769, 661534, 729566, 776773]"
270487,"[655365, 205201]"
270488,"[719775, 723798, 663941, 671937, 715574, 696068, 729566]"
270489,[188619]
270490,"[689957, 655290]"
270491,"[758805, 692309, 680004]"
270492,"[688678, 683612]"
270493,[748491]
270494,"[849612, 729566, 729566, 725298, 653298, 780643, 935353, 673162]"
270495,[473025]
270496,"[711067, 776344]"
270497,"[654586, 702058, 664574, 951269, 661251, 688678]"
270498,"[700635, 698109, 675256]"
270499,[709178]
270500,"[653298, 152930]"
270501,[663982]
270502,"[656706, 651927]"
270503,[701284]
270504,"[723845, 658343, 676097, 706766]"
270505,"[723798, 946590, 700538]"
270506,[688046]
270507,"[673467, 723798, 706803, 673150]"
270508,[207706]
270509,[754895]
270510,[759185]
270511,[689966]
270512,[188923]
270513,[726431]
270514,[723845]
270515,[252031]
270516,[193901]
270517,[816728]
270518,"[660434, 180854, 704107]"
270519,"[819060, 780627, 400120, 664013]"
270520,"[662064, 672817, 681957, 770065]"
270521,[701388]
270522,[997437]
270523,"[713331, 709249]"
270524,"[801845, 814475, 725174, 754846]"
270525,[758232]
270527,"[659590, 702686, 659397, 704315, 714048, 706462]"
270528,"[658394, 665193, 166701, 723798, 658244, 654177, 659590]"
270529,"[715581, 697299, 658546, 691267]"
270530,"[696997, 206652]"
270531,[654080]
270532,[818971]
270533,[703598]
270534,[2]
270535,[768283]
270536,"[654789, 794370, 916007, 658394, 655290, 659091, 659593, 661531, 691745, 804328, 704632, 661777, 692309]"
270537,"[664012, 663312]"
270538,[672353]
270539,[759281]
270540,"[700189, 663682, 658394, 818997]"
270541,"[672908, 692309, 724007]"
270542,[654757]
270543,[818971]
270544,[729566]
270545,[658394]
270546,[885178]
270547,[650100]
270548,[441261]
270549,[673030]
270550,"[884403, 663312]"
270551,[175824]
