0,1,2
4.3093815,9.578429,35.43326
-13.301156,12.412837,14.823262
13.895404,-4.725759,-21.782005
29.22725,25.628523,18.363537
0.75185746,3.0854456,3.269903
-17.269009,-34.35416,14.607324
-16.549484,42.210682,9.26612
0.7559794,-39.926796,2.199395
-1.8398763,-13.67727,23.979364
36.44692,2.9462228,-32.23701
-9.873876,-19.83025,-23.529457
28.265158,4.9908214,16.0361
9.17746,31.052153,0.664455
-3.181744,-12.82045,24.823133
-7.299047,-9.576424,-4.159236
33.510204,-3.1796422,-13.3015375
12.764031,-11.995965,-34.13093
-1.9341223,-1.1487386,-8.094784
-26.729027,-10.038913,-19.005463
-0.8482324,1.0262318,0.6788622
-4.4782677,-12.1611805,25.63405
0.010590737,-4.2980585,-3.8306296
1.3493812,-7.968035,-2.4732704
-11.993817,-18.12457,0.75471324
-32.901894,-6.2204185,17.334555
-14.80011,-0.925065,17.052269
-11.145302,-17.502272,0.46727934
-33.39171,10.409702,10.6149645
-33.556038,-6.2010164,18.216208
-29.898016,6.4257264,-7.3278728
1.3868029,-29.02349,-33.932606
-0.95885587,-14.285529,23.395956
4.5706973,1.1794549,-1.2449478
-3.8234873,16.452168,18.109531
-12.172962,-17.60924,-42.731724
48.99709,-2.896474,9.595912
5.056732,3.2058158,1.9778064
-0.88854015,-15.358637,3.2511983
37.735973,28.907248,-4.620125
39.72461,25.74872,-1.6277753
-3.1249228,33.669376,-23.671911
-13.521335,-18.81911,30.035427
-23.349703,-42.49808,-1.7961961
-30.844877,22.34001,-25.403889
0.4828762,6.9654026,0.79056185
-10.978554,-10.299546,-8.354185
9.441929,3.169684,2.5600982
0.27439082,-40.854076,2.9381123
11.075584,-24.003727,-24.968418
0.9000899,-11.030069,-4.63166
2.788766,1.5386478,5.866616
-19.256659,39.70108,9.894557
-21.299967,30.553919,29.892265
-24.388397,4.818885,41.02405
-21.299967,30.553919,29.892265
-18.41709,-7.1317387,15.333444
-22.09835,29.743946,31.555649
-2.0021172,4.524855,1.6004748
-12.055103,-2.6752298,2.5651093
-28.603296,26.272797,-14.000936
-16.18162,42.642994,11.509228
-21.299967,30.553919,29.892265
-16.885244,43.34305,10.947621
-18.92791,-6.1690974,15.263102
-17.655197,11.239594,44.292393
33.555836,6.037613,30.004421
-10.406794,-26.960413,30.24744
-12.055103,-2.6752298,2.5651093
-4.3786135,1.0712247,7.6450677
9.555427,-15.577407,1.6154085
-17.900352,7.488792,-10.292729
-15.738239,-45.669056,-8.232157
-26.773651,29.339497,12.55326
-18.324741,11.531474,34.46264
21.501184,15.822545,-28.566723
-24.325544,-6.3524866,-7.288254
-1.3200406,0.09708164,4.137563
-31.90152,10.641897,35.171177
-2.4240532,-12.60526,-26.017345
-7.2252836,-1.4229333,7.3440585
-39.600967,-31.921019,-6.3875246
22.817099,9.189705,32.71393
48.99709,-2.896474,9.595912
-22.495377,-35.354916,-10.525241
-35.492134,-29.286388,-4.4214725
-34.3206,-27.180367,-4.0064583
-34.3328,-28.11884,-2.5794349
-23.61663,-33.53254,-9.39736
30.163671,28.51065,9.277296
-29.506098,-27.736082,5.052703
0.7243378,-21.402557,42.32637
-30.140673,-21.192486,6.0870934
-3.7596931,6.3119264,4.7163687
-23.654657,-38.32729,16.722607
-48.047825,12.541091,4.4191036
-29.057083,-21.1605,5.892595
-48.780586,13.39007,4.2126994
-36.185246,-34.64203,3.200153
-38.232105,-28.357065,12.099057
-37.920918,-28.400406,10.124469
-4.2471013,5.3097806,-5.390636
-20.713514,-37.14472,-16.197992
-36.576508,4.350472,12.220688
-36.41082,-36.1106,4.7943516
-27.037277,-19.583351,-0.8495585
-36.169426,-1.7320259,-9.619366
-23.364195,3.7851925,-6.640408
15.184823,0.1769821,-29.733305
-23.329304,-38.46975,15.682844
-17.595642,17.815361,24.794714
-5.49627,3.5916533,-2.6034522
-37.06345,1.0812014,11.814606
32.113605,26.157484,10.304852
-5.6621437,17.878819,9.61331
-36.647076,2.7929738,11.949219
-35.324547,4.6876297,11.84811
-35.387245,-25.899748,-4.550105
-29.253263,-29.294489,-8.655951
-29.253,-29.29268,-8.653033
-28.84639,-26.085865,-3.780223
-30.279608,-26.97622,2.210869
-29.31502,-24.959518,-0.73898906
33.113888,-9.397527,19.510702
32.539448,-10.137471,20.558496
-13.699235,-6.126988,14.823904
-21.888813,-36.39469,-11.3070755
-35.67828,-2.7861927,-22.198652
-30.696756,-38.15171,-5.5689373
4.1934314,-23.893219,-17.050621
6.7410407,23.532804,-32.473324
-19.623627,2.0301902,-1.3312739
-14.664149,-13.077732,31.881662
-2.5372972,7.0064425,-1.6321607
6.757714,-12.9010105,-25.405222
-32.55305,-37.522408,-7.329054
-32.239403,11.762063,33.73065
-32.55305,-37.522408,-7.329054
-27.366798,-20.336653,-0.11747744
-33.771397,-28.06338,-11.05231
-30.13875,-25.652218,-2.6778507
-40.101555,10.918219,12.073378
30.776743,25.72653,8.894496
-36.41082,-36.1106,4.7943516
-37.11359,-26.14831,20.994833
5.300035,37.730648,-13.128431
-36.41082,-36.1106,4.7943516
44.744625,31.1266,5.127504
-23.074287,-26.906713,-12.013131
-39.63648,22.46484,2.5359218
-4.350586,1.2073637,-5.338299
-29.706741,-21.41887,-10.519096
1.1571344,-3.6631596,-7.101845
2.8837037,-1.7018161,-4.037284
-37.86898,6.2489157,5.225723
-1.8711473,-31.467766,-11.938359
-6.442094,12.903122,21.958567
8.302471,-42.317455,14.54473
3.0132294,-0.90373236,8.796486
-0.06866771,-13.739368,30.621498
0.193732,5.7113547,-3.8103325
1.4321588,2.0079477,-3.563179
-5.1869636,-22.377441,-35.727787
-4.132092,-44.73888,-5.0279746
-12.055103,-2.6752298,2.5651093
-48.313816,3.129559,-8.939483
-1.1884454,2.620282,-6.2958837
21.4616,6.625632,-9.659572
-12.055103,-2.6752298,2.5651093
1.9738297,-4.8683224,-0.7581913
-16.245266,-17.113852,-16.398916
-16.969872,-17.065546,-15.048648
17.391693,-36.775436,-20.548912
-30.844755,7.83418,-36.475937
8.531013,36.857983,-13.342175
-4.187189,-20.38591,-7.9097
-3.019851,0.002997214,-1.9583769
-16.83571,35.776924,-2.4816942
11.818434,37.97017,6.179752
-42.78759,0.36418182,7.2639666
-10.250712,-33.492622,10.239904
-18.723473,-7.2800894,-9.559707
-32.55305,-37.522408,-7.329054
-1.1777076,-5.9578357,1.2398924
-33.989597,32.289646,7.4877777
-4.7412705,34.679665,-6.9611826
7.3418317,3.3358548,-29.7097
-6.1249394,28.678946,19.296675
-0.12888487,6.512444,4.812379
-44.349377,6.308854,14.756001
-12.055103,-2.6752298,2.5651093
-10.483896,45.042603,6.6523786
4.9724026,-2.0333164,4.1594987
-7.8668194,-29.902912,6.463716
-2.9005198,-2.1622355,9.975822
-14.381457,14.761325,13.447853
-24.510805,-30.410452,-18.142464
17.985056,-22.716488,22.775263
12.577334,38.50744,-20.34567
-9.02626,0.2566895,20.151184
31.562878,10.138085,-20.55167
-18.745562,-3.2918758,19.578335
-10.978554,-10.299546,-8.354185
1.3149232,-2.1577435,5.386787
-19.834763,-3.3736713,19.502777
5.9466395,1.5511396,-9.548551
-9.812321,-31.719713,12.501199
-6.0384445,8.017358,-2.4910545
-3.7697194,-7.2337713,30.539625
-5.591094,-4.9247975,8.458467
26.296968,5.60685,38.880333
-13.34438,-4.2719126,9.369579
-5.1296,5.352772,0.43993443
-20.653774,14.259923,7.668395
3.1364639,-4.772763,7.2524014
-41.224995,-0.11706744,6.9733644
-42.78759,0.36418182,7.2639666
-7.3692913,6.5660257,6.66766
-6.442094,12.903122,21.958567
-5.730511,-0.40559584,3.882128
-28.260363,8.108271,-5.0448837
-2.0166347,-3.1160696,-1.0231797
15.747693,11.65551,0.3260246
-12.055103,-2.6752298,2.5651093
4.497395,-2.7751846,0.3867933
-23.438234,-14.389394,8.401546
-22.974781,-14.010099,9.318588
9.341555,-18.438324,-42.074165
-12.2744055,5.2513704,32.55703
-6.442094,12.903122,21.958567
-7.5010386,-3.6355698,-5.1554193
-4.270648,-8.244359,30.628115
23.236704,-23.071264,-14.338397
2.2783906,18.55575,-3.168776
-28.393438,3.855508,13.846988
-24.927849,37.20052,-1.3024102
-9.992225,-32.447945,11.573809
11.238898,-29.796976,24.217089
4.0049105,-22.88284,-17.505484
-2.5394862,-4.878973,-8.091325
-6.755954,-0.79425395,-7.4674597
6.6649604,23.407326,3.1184456
-27.582502,21.69161,-19.842772
-4.132092,-44.73888,-5.0279746
8.6292925,16.33736,21.212362
-14.411869,2.8349438,5.497949
-19.146593,-29.26698,18.672918
-31.709162,33.653656,-11.733395
-3.0188408,43.002316,-1.3136083
12.248762,-12.257524,23.158203
9.028996,0.47710264,47.624336
-10.4984665,-8.144028,33.251274
-11.198982,-7.9369273,32.3439
8.559714,0.19200279,49.225933
2.9947965,-9.944046,22.981865
-1.4024003,-4.5322227,7.588216
24.27905,-7.877497,20.639938
-11.792094,-45.853394,0.37092024
5.6867948,30.504799,25.138718
-0.84242296,-0.30775207,7.7370515
-14.218027,2.3609881,-11.847483
-1.0479764,-23.858576,38.16058
5.0142713,-17.850988,-5.7829075
40.64421,22.033247,0.98964614
-8.526711,9.670918,-19.079473
27.21356,-3.6412609,0.98382497
1.7490816,-8.154861,1.5472455
-19.759722,-17.209372,18.899538
12.538996,-19.504791,6.190305
43.141155,18.099388,-14.097612
-40.129227,13.849516,4.8507566
-8.589255,-19.586382,-24.110891
-2.724644,-9.893078,-4.001511
51.04838,4.866302,0.2581116
-2.967228,2.600695,10.486122
-4.74905,-6.3544025,-5.049242
32.845566,24.768929,-12.619135
4.318359,-14.8645,-4.11515
-2.1036627,-8.729424,3.4241703
-13.510552,-45.079,-9.680259
31.385427,25.892857,-14.4590845
-11.046448,2.4757748,-2.4235315
-29.444874,-9.57708,23.183115
-3.4810143,-16.46304,-0.83413106
-39.63992,-8.765383,-1.7429758
-17.105398,18.740314,-6.6863394
-2.9066017,-8.462816,7.6092043
3.3584576,-8.459619,5.208899
-4.0762177,-21.261696,11.145773
0.8463496,-28.802853,-6.357828
-40.076942,-8.090926,-2.5975766
-8.941324,-6.5600753,-6.8718395
0.33773777,-7.248087,9.566231
42.23145,-0.3942079,25.574123
-7.299047,-9.576424,-4.159236
-34.696976,-8.845528,8.807143
-31.077038,-32.805252,19.308256
7.2461925,5.889039,10.393884
-23.423605,-1.393887,-19.085382
-3.5052361,-12.415648,2.3784723
-1.1522708,5.8507023,9.212016
-11.762091,-7.7163296,6.9360104
0.17023425,-10.486079,6.196985
-11.442892,-22.930153,1.3548552
1.0433989,5.290722,-17.044237
-33.0739,-28.27186,2.205282
28.805637,20.756178,-21.592922
-20.845009,13.885896,6.4454503
-13.759316,-0.68769103,-3.3991225
-2.028417,-32.459023,1.4268223
-27.380535,-5.0884957,17.498268
40.227013,24.01799,-0.37467825
-14.305138,-10.092729,8.738028
-8.604964,-5.5142293,-2.2120402
10.927199,-19.942598,27.324415
2.5313058,41.403656,-24.544289
20.331419,9.607175,33.948177
3.065962,40.51979,-23.427414
-14.970698,21.207952,7.128091
10.654638,-6.3647985,5.1513267
-24.55935,14.017959,-9.758098
-1.1956896,18.089176,-30.836687
-14.779731,21.272064,8.534762
-14.657794,21.253103,10.1430235
-15.745892,-22.09131,18.948769
3.5889556,-11.852276,8.324219
-4.713811,13.997441,-4.890591
-25.689219,12.688964,-9.633293
-15.169428,-22.56045,18.142515
4.744683,42.33705,-23.337788
-47.67601,-5.682226,10.059862
-15.930818,-37.042538,-5.1242776
2.5313058,41.403656,-24.544289
-12.055103,-2.6752298,2.5651093
-7.6947737,1.8936439,2.2022927
-21.01857,-12.631633,-19.369942
-10.81547,-0.0006514912,-6.2376056
-25.689219,12.688964,-9.633293
3.7916074,27.346266,7.946436
-15.063591,0.026501415,34.777287
-7.949979,3.3418972,9.527725
-22.802511,-23.044281,-4.267751
-2.3880832,-27.160473,16.869234
-8.6977,-25.844,-14.240859
-10.935613,-16.497759,-43.28457
25.716726,3.4673352,-22.690231
0.6659243,-30.034142,-6.405619
-29.807404,-27.615028,9.068439
-8.72574,4.470131,-0.089018375
-26.220139,-9.206517,8.179991
3.1127522,-17.04559,-21.465248
-2.3880832,-27.160473,16.869234
-5.1869636,-22.377441,-35.727787
-31.342972,-29.135794,3.8745086
-31.807877,-25.80126,-3.293921
-31.501768,-36.15532,-9.104683
6.6853385,3.9671693,-29.05189
17.142897,-19.37756,39.882504
-38.087025,-34.79859,4.6348
-28.209297,-10.231608,-10.193026
-28.71885,-23.979801,-0.2229625
36.01856,4.4213524,-31.485937
-33.281227,-28.006712,-4.8948326
-38.232105,-28.357065,12.099057
-10.44404,3.5804365,5.169999
-45.50128,6.4882984,12.796998
-26.410742,16.089573,0.3301097
-9.727606,-21.18763,-8.087495
-11.963805,3.814511,1.464581
1.9900225,-25.573761,-17.30894
-26.699604,14.631235,-0.8091182
-3.2515523,-32.005783,-22.91
-25.311949,16.04966,-1.1897182
-5.3259387,-16.487085,4.2432113
-6.7168255,8.490865,1.9223648
-4.6492906,-5.145685,1.6774808
-12.394732,13.406782,18.089077
-9.668109,-9.089435,3.3955023
-26.648127,-5.7873983,17.93211
-45.16858,5.3713155,11.612332
-19.194555,21.758083,36.044514
33.561863,8.567406,-11.83228
-31.973482,-8.228945,-26.680912
-43.44183,-7.0423017,-18.19889
2.6790228,-1.7308234,-15.164224
-22.162918,-23.700344,-6.069471
-16.53579,-13.389051,-44.11753
-13.940041,-15.039396,-43.684616
0.5637989,-23.616713,41.148014
-1.1463629,15.852034,32.10579
-12.055103,-2.6752298,2.5651093
-8.810103,46.096844,6.485537
-6.0193415,-20.568153,-0.11606722
38.87728,27.320297,-2.9616084
-4.8914175,-8.111945,-0.71223503
34.509365,11.911263,-27.724092
-41.48179,-1.103865,-1.6625248
-29.839983,-19.196602,-19.194265
-19.937878,-6.955931,-17.357029
36.166283,13.884172,-9.701687
37.89784,10.665919,-24.26601
35.92541,4.416601,-27.470709
8.048124,47.20292,21.134039
-43.3278,2.284683,-25.555992
7.834012,23.290113,-32.26255
-16.489885,9.210253,0.9075549
19.934021,3.4177399,-9.371456
-5.6723948,10.065132,-12.720775
-28.556925,-9.891989,12.980747
-6.2740865,-1.9904196,0.27639657
35.28771,10.327175,-25.411148
12.560306,35.806103,-9.811471
-19.25051,-3.7537644,-10.736155
-33.506725,-6.288098,-24.491732
35.280216,6.40511,-28.762691
14.379514,-31.696026,9.367344
33.879025,10.095881,-23.084587
-8.941613,21.40322,32.51929
-20.422739,4.5136724,-0.09130999
-1.0337986,1.1969792,35.621483
36.813507,6.6147184,-28.723602
36.87892,9.3643675,-27.132917
-1.1609915,47.064007,-12.875054
-5.2169933,-17.477175,20.873161
46.4463,-8.791944,-17.622484
-24.074474,7.5803127,27.040335
11.528444,38.029385,-19.765387
-2.1259856,16.407425,33.17237
-27.666162,3.4515274,-40.43112
17.40813,-14.963639,-37.991257
-7.1818824,2.3550897,6.0921764
4.6649337,33.653698,-14.524335
-4.3144345,-21.186228,-33.933952
-7.81818,-7.1465163,6.0183654
-15.004855,-27.986532,21.361856
-18.645884,-4.1308665,-32.24323
-49.525436,3.9801707,-9.277985
25.09436,-20.558498,-11.97428
-5.6723948,10.065132,-12.720775
-9.520991,-45.38452,-1.2321428
-48.30812,4.5256996,-10.005682
-4.833841,-11.840996,-0.8655184
-15.286689,2.1564374,-0.5727213
-10.722062,-8.410875,-0.52611667
-7.372854,-12.452146,3.89186
-16.53579,-13.389051,-44.11753
-19.173845,43.849144,-5.2970166
-28.831982,-9.899869,-8.690554
-10.935613,-16.497759,-43.28457
-10.632659,-45.614338,-0.4432493
-3.1158473,-37.974644,-2.4980767
-23.176691,-8.819218,16.313396
30.776743,25.72653,8.894496
-28.311823,-9.83234,11.870856
-25.07091,-8.741357,7.242212
-2.8491266,35.50892,10.036889
37.99354,30.079044,-2.9156885
-19.979435,3.0446615,-0.8172972
0.38422993,30.672157,9.464947
43.141155,18.099388,-14.097612
-8.095585,-14.447546,15.397664
19.435263,25.131319,-26.749813
-3.4904206,-18.691525,-29.864687
6.658997,29.953722,25.347157
-15.738239,-45.669056,-8.232157
-3.8964982,-25.168451,15.979074
-26.049265,18.663101,-13.417964
-15.738239,-45.669056,-8.232157
-25.338675,-9.663604,14.682821
11.298977,3.4053776,14.714844
-2.5306337,34.49153,10.311588
-18.020475,-9.768165,1.8048294
50.430748,18.782751,-1.3718741
-27.194061,-9.586382,9.014558
-6.282723,-3.997257,4.519741
-24.063295,-31.952827,-3.4845364
-3.2954118,-0.85457623,17.511787
-29.894302,21.618536,-22.289
1.4106858,-17.46421,36.180782
-23.988914,-30.313549,-3.1960042
-34.86847,7.1833944,26.72245
-34.095673,8.399749,26.512686
-34.517044,7.638818,28.876654
-4.372028,-19.496292,21.738892
5.755572,-33.574146,-15.806736
-3.0516183,-5.8765163,10.959059
10.282015,20.896599,-5.0062237
20.399683,45.06112,2.8588247
-29.96791,4.9794383,25.89536
12.1918545,-0.11821267,48.758144
13.920002,-27.23094,3.5429482
18.864426,-5.9854264,2.5836205
-16.238167,-6.690709,10.350162
-9.468691,-1.3886048,-2.959071
-17.791925,-17.695322,-7.8567276
-28.831982,-9.899869,-8.690554
-9.03003,7.2269154,-8.604638
-3.9632695,-5.1458416,-16.304852
40.64421,22.033247,0.98964614
37.735973,28.907248,-4.620125
-35.752777,11.553322,-1.9720726
-17.450361,-15.079941,4.3301044
-8.901134,-10.7068815,9.81769
-10.294871,0.66808295,8.106514
-1.8917135,8.062224,12.679765
-19.996252,41.009594,8.594377
22.793242,4.289871,22.762407
-6.016914,-15.824701,19.424349
-36.89188,5.1082044,-16.301569
-27.693077,20.338205,19.65837
-35.295685,9.359541,-7.4661574
-9.470914,-4.3840857,8.341388
-6.5174074,-45.07246,-3.8194585
-11.674602,-40.312107,-12.443541
-39.804504,9.589936,38.835587
-19.133171,-3.9150007,-25.384703
35.879555,5.1601133,-32.431507
-20.345907,-12.134931,-20.228203
-8.734276,-29.019682,-43.38794
16.0561,4.2240157,-22.823597
-4.7842507,46.15017,-13.393773
-29.838104,-27.259493,11.342037
-14.139267,35.46627,9.192136
-1.4041117,21.261896,-47.052826
-41.39821,15.351163,18.129305
17.109465,-48.777096,25.024752
-8.944962,-1.5404909,38.36025
-24.241693,-8.975313,15.832007
-4.1284423,7.0665603,26.384817
-38.992496,18.290989,-18.621145
-22.722734,0.8278999,24.69664
32.091724,11.266406,-20.274683
29.858437,-31.72564,-2.8246195
-29.81714,-19.129276,32.349827
-16.259338,-35.938957,-6.030765
-2.3470578,-31.96152,-12.879667
23.180548,45.348442,1.1477633
24.01116,45.41807,-0.040429942
-14.103483,-23.450054,-36.031376
21.04529,-2.8843887,31.253893
-10.428759,13.514319,27.996918
17.40519,6.590991,41.133686
-18.47963,40.185833,30.795498
-18.134205,2.473913,19.88121
-13.557339,-6.278417,38.06983
-26.120966,49.200222,-16.487818
7.7518806,21.636183,26.497313
30.80886,-23.03172,28.096167
50.761215,0.3530145,29.139988
-46.067345,29.266514,-9.263203
13.015982,17.317238,39.77966
-17.396917,-1.2729641,13.077531
27.572098,15.650432,28.044897
47.314613,10.5177,12.90947
30.458391,46.657085,9.057581
14.867676,38.05305,2.9805236
1.0746459,-51.396923,-23.605644
-21.449594,11.210995,3.3839266
1.2921112,-40.35554,-10.21183
51.04838,4.866302,0.2581116
-42.825405,-9.8796625,19.015114
50.74416,-4.4675927,8.189037
9.409504,-36.351482,42.42497
48.99709,-2.896474,9.595912
48.99709,-2.896474,9.595912
0.9904835,-17.016798,44.408485
2.1985762,-17.016645,-21.531385
-9.5392475,-9.311702,14.585758
-1.1662409,6.0767865,-7.855646
-6.8187213,3.6272962,-8.233059
0.9846554,20.171524,1.7162043
13.2374115,-26.23386,-14.45949
41.104992,-31.629742,-2.3946013
-10.504071,-24.513077,1.5112827
-25.471722,46.00439,-9.557112
22.022852,27.50475,-39.306664
38.72559,-24.72345,33.813717
-17.896315,18.65769,-0.88320506
-49.387398,-3.7301996,-22.384293
23.153568,-40.556145,-30.864399
-1.7538577,0.60446084,34.476784
20.909208,11.30215,3.9632378
-11.432562,-33.58595,20.70397
-31.97697,14.072715,-5.7579355
1.5193115,-39.463936,-12.698349
3.8046777,-28.784506,17.24055
35.39092,2.7942398,39.461033
9.639922,-17.11353,18.305836
24.268085,3.3991337,-52.162277
5.209041,-20.399399,52.005707
-10.482301,15.351346,55.164047
6.6570234,53.878227,-22.850464
19.124985,-5.1986938,3.4918058
-7.037032,5.494095,45.613083
14.32993,6.8348975,26.525782
-26.555004,17.866343,-13.990932
0.9104593,1.9767163,9.634878
-25.233162,11.408998,-19.665503
-9.770973,6.9930906,3.629275
40.708065,-15.26963,-0.68252397
-5.861749,4.331126,45.403122
-27.504822,-16.10688,-23.462545
-18.91287,0.572701,29.88162
-22.722734,0.8278999,24.69664
46.922005,-28.010958,3.5885715
-9.504855,-8.919898,42.243923
7.781673,-39.64167,7.083227
-9.319499,4.431223,24.43956
-27.292137,2.1420414,-2.7174938
10.283612,-8.484285,42.38966
-11.201348,13.558629,18.060068
8.731161,7.766122,30.07606
24.722017,-48.46862,19.409418
-30.773891,-31.741884,18.073309
38.6318,22.852179,13.180715
-41.193615,18.173445,18.878147
-19.599537,-35.669678,24.6225
34.767204,15.374424,-8.817985
-16.630636,-0.02756424,44.928215
7.8796997,-6.144268,-2.2190168
-8.109981,-39.06077,6.77806
-8.345857,6.2978897,45.39749
-31.688076,27.617018,-0.94084066
27.355257,32.889523,-38.86974
-16.904028,-54.09098,-13.148663
-16.192038,-0.43249202,24.05986
-19.848526,-5.8488116,32.296932
-30.25279,-7.7153826,3.2268136
-14.603416,-29.251072,-13.484288
2.457704,26.600815,33.21175
42.059036,-38.866096,-5.9884295
13.265787,-19.122015,28.535295
-14.161386,-5.9493246,-54.46749
-27.920454,-21.133432,-21.683405
-38.244804,20.418316,-18.2964
-7.3872423,-18.920113,39.742184
-34.49643,-12.463811,-10.341035
-37.376064,-26.275272,19.929802
-10.772908,11.167984,-10.49587
-41.863426,-20.27351,-30.329908
-44.804607,-3.6790652,-30.332428
-42.219887,23.781263,-31.363457
41.93777,-14.305376,-0.9594309
16.773615,-5.2515397,-29.152864
5.8708205,8.963678,-34.488075
1.2720175,-4.8928785,44.232697
-1.8079187,9.183298,6.8688316
-16.470945,22.58277,-31.451113
1.8980657,-24.006935,42.484474
11.016903,0.5370816,24.756586
-12.156434,-4.465549,20.596859
-23.155416,7.034042,14.234808
-0.72361195,-14.93162,-5.1309834
-17.270927,24.101973,35.62703
-5.076266,-9.116441,10.38552
-3.1680477,-27.11245,-1.1338516
-2.8085546,-25.24186,-1.6230316
24.946365,18.274174,13.519176
-5.3642445,12.773231,8.871873
7.3893805,26.237309,39.055965
37.111446,-30.492786,18.068306
-32.05467,2.9954627,-25.726011
-17.771818,-10.13148,27.408043
-1.739097,-2.7146468,21.987652
-2.8601544,-35.28217,11.487102
48.35998,26.942465,17.698885
34.85281,-4.95111,-43.211906
35.643185,0.34232217,13.670696
-15.103223,-1.017457,34.434914
-18.40537,-19.078243,24.962734
-27.52245,27.858732,36.985718
27.462751,2.4297283,0.6271147
-23.62965,27.853628,5.4438443
5.191563,-34.2275,-1.5693707
0.5565689,-27.586918,-17.51983
5.524642,8.320903,-18.62887
-13.890537,24.049656,-4.833564
-28.301214,2.1866205,-17.447628
-15.165631,-16.683668,-25.652424
16.013235,53.492603,17.236204
-20.379936,14.197575,2.8331363
-23.090511,7.2917867,26.649675
-24.121405,-32.581425,-9.105066
-39.247784,14.385415,5.65775
7.681928,-9.0866585,19.781822
-27.581902,26.965353,-14.3902445
-34.71716,0.9227556,18.508343
-2.8042843,3.3264813,14.670602
-15.160001,51.184822,-8.583904
5.1095624,-19.455807,-53.382786
-6.6037564,-38.61969,22.642616
0.932716,-3.4438515,10.227389
-34.629925,-4.5278516,30.18463
23.68289,3.6572046,10.859515
-21.316088,4.0988007,36.001892
-9.466589,4.9791756,13.211459
6.8016086,27.059193,39.559288
1.6279494,3.5595155,-0.23606342
-21.531336,11.014029,19.655453
-38.23733,-17.4818,-21.242151
-27.098207,-44.979633,21.360592
-33.33012,-8.815743,6.680078
16.336906,3.5389514,33.485645
49.838097,12.033393,-8.780376
-13.967199,14.842878,2.3465145
-31.134666,19.462366,-3.6350331
-25.157759,-21.88078,-31.061516
-9.453553,-23.03966,36.641033
-7.852644,-6.821867,18.928307
-24.217388,-22.601797,23.183357
4.469328,28.438,-6.390161
8.547636,-30.318604,4.5325255
8.306047,-23.070782,15.497671
-22.40206,-8.9386425,-25.787294
-55.878643,17.315865,4.295009
22.460955,49.494167,-21.899126
14.429155,-35.982628,13.325612
14.557395,-37.145718,10.559585
-10.566661,-35.00475,29.811567
0.37725946,28.498144,-10.094091
10.082684,-24.143501,-7.7833986
31.369734,22.915192,-29.963387
22.110645,39.29744,-34.138374
-34.406765,-28.03263,-11.297189
27.339325,49.209137,-14.312449
28.477945,-25.523254,18.118456
28.477945,-25.523254,18.118456
37.810635,-7.3372555,28.529455
-34.295815,-12.690183,18.02635
-31.883932,-8.175745,-23.200214
-8.389711,-8.573351,26.58914
-29.443714,13.772863,44.980045
-10.75964,29.26738,29.906471
5.451927,-2.9117403,-6.7113075
-3.1505256,-33.462994,2.0358176
-34.008083,-12.973451,3.7710009
10.367498,0.9590849,48.897964
-2.9142466,-8.18902,45.507782
8.917388,-7.193327,43.276173
-18.139912,18.595665,29.346565
24.408756,16.187614,37.149918
-1.1804993,21.099316,-16.90742
-0.8579982,-19.865902,1.5650853
25.707964,-4.2019567,38.459595
-10.337407,21.299406,33.07937
2.6771116,10.9610815,11.880141
35.84718,11.223191,-41.857
-30.985989,41.990154,-6.0858517
15.126045,40.206005,-38.624634
-17.679098,6.8446207,6.2825336
-41.964832,-1.9620289,35.724182
11.990016,-18.033161,6.614492
-5.8303,-32.120457,6.592114
-9.295614,-8.54471,34.52567
-8.901307,13.632431,-15.982139
37.48598,-36.188087,23.956486
-18.61869,7.3702188,22.316532
-50.831593,1.959351,24.367462
11.319536,-16.600729,6.876681
4.3020945,28.17768,6.388193
-39.247047,31.449114,26.606781
-40.35681,-19.451323,35.270905
9.336329,18.659111,26.299177
24.034142,3.070725,-29.678288
-27.856308,-15.567384,-6.616547
-25.537678,-19.503527,25.053864
-43.240723,6.1073112,16.527681
22.66188,-34.486183,30.982176
-30.593124,0.67787516,23.569471
20.44466,35.481136,30.231222
-0.012497304,41.914104,39.25837
-8.8368435,10.53722,6.5426583
-5.9518795,-15.729554,12.204939
4.164312,22.146261,-6.8771653
33.93976,3.1807513,20.793907
-37.255,23.001558,-8.008111
17.577328,-24.27529,-33.29941
-7.6627235,-23.862259,21.02431
-16.63405,-1.960749,12.708404
-18.771086,-32.335308,2.7087653
1.7512906,0.7784361,-58.334713
-0.011646169,-52.71445,-0.60938454
-12.281097,4.029148,8.783874
